Author,Title,Citations,Venue,Source,cit/year,Title（日本語）
" de Vos, H Tilg, M Van Hul, PD Cani",Gut microbiome and health: Mechanistic insights,150,Gut,https://gut.bmj.com/content/71/5/1020.abstract,150,腸内マイクロビオームと健康：機械的洞察
"Gacesa, A Kurilshikov, A Vich Vila, T Sinha…",Environmental factors shaping the gut microbiome in a Dutch population,63,Nature,https://www.nature.com/articles/s41586-022-04567-7,63,オランダの人口における腸内微生物叢を形作る環境要因
"Zhang, Y Wan, T Zuo, YK Yeoh, Q Liu, L Zhang…",Prolonged impairment of short-chain fatty acid and l-isoleucine biosynthesis in gut microbiome in patients with COVID-19,63,Gastroenterology,https://www.sciencedirect.com/science/article/pii/S0016508521036507,63,Covid-19の患者における腸内微生物叢における短鎖脂肪酸とL-イソロイシン生合成の長期障害
"Vijay, AM Valdes",Role of the gut microbiome in chronic diseases: A narrative review,51,European Journal of Clinical Nutrition,https://www.nature.com/articles/s41430-021-00991-6,51,慢性疾患における腸内微生物叢の役割：物語のレビュー
" Lee, AM Thomas, LA Bolte, JR Björk…",Cross-cohort gut microbiome associations with immune checkpoint inhibitor response in advanced melanoma,49,Nature medicine,https://www.nature.com/articles/s41591-022-01695-5,49,進行性黒色腫における免疫チェックポイント阻害剤反応とのクロスコホート腸内微生物叢の関連
"Qi, J Li, B Yu, JY Moon, JC Chai, J Merino, J Hu…","Host and gut microbial tryptophan metabolism and type 2 diabetes: An integrative analysis of host genetics, diet, gut microbiome and circulating metabolites in cohort …",42,Gut,https://gut.bmj.com/content/71/6/1095.abstract,42,宿主と腸の微生物トリプトファン代謝と2型糖尿病：コホートの宿主遺伝学、食事、腸内微生物叢、循環代謝物の統合分析…
"Sun, ZG Song, C Liu, S Tan, S Lin, J Zhu, FH Dai…",Gut microbiome alterations and gut barrier dysfunction are associated with host immune homeostasis in COVID-19 patients,37,BMC medicine,https://link.springer.com/article/10.1186/s12916-021-02212-0,37,腸内微生物叢の変化と腸のバリア機能障害は、Covid-19患者の宿主免疫恒常性に関連しています
Loper,"Effect of host genetics on the gut microbiome in 7,738 participants of the Dutch Microbiome Project",36,Nature …,https://www.nature.com/articles/s41588-021-00992-y,36,"オランダの微生物叢プロジェクトの7,738人の参加者における腸内微生物叢に対する宿主遺伝学の効果"
"Chen, X Dai, CC Zhou, K Li, Y Zhang, XY Lou…",Integrated analysis of the faecal metagenome and serum metabolome reveals the role of gut microbiome-associated metabolites in the detection of colorectal …,33,Gut,https://gut.bmj.com/content/71/7/1315.abstract,33,糞便メタゲノムと血清メタボロームの統合分析は、結腸直腸の検出における腸内マイクロバイオーム関連代謝産物の役割を明らかにしています…
Di Marzo,The endocannabinoidome as a substrate for noneuphoric phytocannabinoid action and gut microbiome dysfunction in neuropsychiatric disorders,33,Dialogues in clinical neuroscience,https://www.tandfonline.com/doi/full/10.31887/DCNS.2020.22.3/vdimarzo,33,神経精神障害における非流動植物カンナビノイド作用および腸内微生物膜機能障害の基質としてのエンドカンナビノイド症
"Smith, A Dai, G Ghilardi, KV Amelsberg, SM Devlin…",Gut microbiome correlates of response and toxicity following anti-CD19 CAR T cell therapy,31,Nature Medicine,https://www.nature.com/articles/s41591-022-01702-9,31,腸内微生物叢は、抗CD19 CAR T細胞療法後の反応と毒性の相関があります
" Mills, PS Dulai, Y Vázque",Multi-omics analyses of the ulcerative colitis gut microbiome link Bacteroides vulgatus proteases with disease severity,31,Nature …,https://www.nature.com/articles/s41564-021-01050-3,31,潰瘍性大腸炎腸炎微生物叢のマルチオミクス分析は、バクテロイデスvulgatusプロテアーゼと疾患の重症度を結びます
" Bell, RJ Rebernick, J Goyert, R Singhal, M Kuljanin…",Reuterin in the healthy gut microbiome suppresses colorectal cancer growth through altering redox balance,29,Cancer cell,https://www.sciencedirect.com/science/article/pii/S1535610821006139,29,健康な腸内微生物叢のロテリンは、酸化還元バランスを変えることにより結腸直腸癌の成長を抑制します
"Liu, X Tong, Y Zou, X Lin, H Zhao, L Tian, Z Jie…",Mendelian randomization analyses support causal relationships between blood metabolites and the gut microbiome,27,Nature …,https://www.nature.com/articles/s41588-021-00968-y,27,メンデルのランダム化分析は、血液代謝産物と腸内微生物叢との因果関係をサポートしています
" Sorboni, HS Moghaddam…",A comprehensive review on the role of the gut microbiome in human neurological disorders,26,Clinical Microbiology …,https://journals.asm.org/doi/abs/10.1128/CMR.00338-20,26,ヒト神経障害における腸内ミクロビオームの役割に関する包括的なレビュー
"Reyman, MA Van Houten, RL Watson…",Effects of early-life antibiotics on the developing infant gut microbiome and resistome: a randomized trial,26,Nature …,https://www.nature.com/articles/s41467-022-28525-z,26,発達中の乳児腸内マイクロビオームとレジスタームに対する幼少期の抗生物質の影響：無作為化試験
" Toh, CW Chong, SY Lim, J Bowman…",Gut microbiome in Parkinson's disease: New insights from meta-analysis,24,Parkinsonism & Related …,https://www.sciencedirect.com/science/article/pii/S1353802021004211,24,パーキンソン病における腸内微生物叢：メタ分析からの新しい洞察
" Schupack, RAT Mars, DH Voelker…",The promise of the gut microbiome as part of individualized treatment strategies,21,Nature Reviews …,https://www.nature.com/articles/s41575-021-00499-1,21,個別の治療戦略の一部としての腸内微生物叢の約束
"Tarallo, G Ferrero, F De Filippis, A Francavilla…",Stool microRNA profiles reflect different dietary and gut microbiome patterns in healthy individuals,21,Gut,https://gut.bmj.com/content/71/7/1302.abstract,21,スツールmicroRNAプロファイルは、健康な人のさまざまな食事性と腸内マイクロビオームパターンを反映しています
" Wardman, RK Bains, P Rahfeld…",Carbohydrate-active enzymes (CAZymes) in the gut microbiome,20,Nature Reviews …,https://www.nature.com/articles/s41579-022-00712-1,20,腸内微生物叢の炭水化物活性酵素（カザイム）
" Richards, J Li, BR Stevens, CJ Pepine…",Gut microbiome and neuroinflammation in hypertension,18,Circulation …,https://www.ahajournals.org/doi/abs/10.1161/CIRCRESAHA.121.319816,18,高血圧における腸内ミクロビオームと神経炎症
