Author,Title,Citations,Year,Venue,Source,cit/year,
" David, CF Maurice, RN Carmody, DB Gootenberg…",Diet rapidly and reproducibly alters the human gut microbiome,8089,2014,Nature,https://www.nature.com/articles/nature12820?source=p5814,899,食事は迅速かつ再現性があり、ヒト腸内微生物叢を変化させます
" Turnbaugh, RE Ley, MA Mahowald, V Magrini…",An obesity-associated gut microbiome with increased capacity for energy harvest,12097,2006,nature,https://www.nature.com/articles/nature05414/?source=post_elevate_sequence_page---------------------------,712,エネルギー収穫の能力が向上した肥満関連腸内微生物叢
"Yatsunenko, FE Rey, MJ Manary, I Trehan…",Human gut microbiome viewed across age and geography,6961,2012,nature,https://www.nature.com/articles/nature11053,633,年齢と地理で見られるヒト腸内微生物叢
" Turnbaugh, M Hamady, T Yatsunenko, BL Cantarel…",A core gut microbiome in obese and lean twins,8231,2009,nature,https://www.nature.com/articles/nature07540?s?s%3Fs%3Fs%3Fs,588,肥満と無駄のない双子のコア腸内微生物叢
"Arumugam, J Raes, E Pelletier, D Le Paslier…",Enterotypes of the human gut microbiome,6853,2011,nature,https://www.nature.com/articles/nature09944/amp/,571,ヒト腸内微生物叢の腸型
"Bäckhed, J Roswall, Y Peng, Q Feng, H Jia…",Dynamics and stabilization of the human gut microbiome during the first year of life,2683,2015,Cell host & …,https://www.sciencedirect.com/science/article/pii/S1931312815001626,335,人生の最初の年の間に人間の腸内微生物叢のダイナミクスと安定化
" Gill, M Pop, RT DeBoy, PB Eckburg, PJ Turnbaugh…",Metagenomic analysis of the human distal gut microbiome,5181,2006,science,https://www.science.org/doi/abs/10.1126/science.1124234,305,ヒト遠位腸内微生物叢のメタゲノム分析
" Goodrich, JL Waters, AC Poole, JL Sutter, O Koren…",Human genetics shape the gut microbiome,2604,2014,Cell,https://www.sciencedirect.com/science/article/pii/S0092867414012410,289,人間の遺伝学は腸内微生物叢を形作ります
"Falony, M Joossens, S Vieir",Population-level analysis of gut microbiome variation,1684,2016,Science,https://www.science.org/doi/abs/10.1126/science.aad3503,241,腸内マイクロビオームの変動の人口レベルの分析
" Kau, PP Ahern, NW Griffin, AL Goodman, JI Gordon","Human nutrition, the gut microbiome and the immune system",2614,2011,Nature,https://www.nature.com/articles/nature10213,218,人間の栄養、腸内微生物叢、免疫系
" Franzosa, A Sirot",Gut microbiome structure and metabolic activity in inflammatory bowel disease,844,2019,Nature …,https://www.nature.com/articles/s41564-018-0306-4,211,炎症性腸疾患における腸内ミクロビオーム構造と代謝活性
Cani,"Human gut microbiome: hopes, threats and promises",972,2018,Gut,https://gut.bmj.com/content/67/9/1716?aff=68,194,人間の腸内微生物叢：希望、脅威、約束
" Vogt, RL Kerby, KA Dil",Gut microbiome alterations in Alzheimer's disease,1102,2017,Scientific reports,https://www.nature.com/articles/s41598-017-13601-y,184,アルツハイマー病の腸内ミクロビオームの変化
" Shreiner, JY Kao, VB Young",The gut microbiome in health and in disease,1378,2015,Current opinion in …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290017/,172,健康と病気における腸内微生物叢
" Cryan, KJ O'Riordan, K Sandhu, V Peterson…",The gut microbiome in neurological disorders,475,2020,The Lancet …,https://www.sciencedirect.com/science/article/pii/S1474442219303564,158,神経障害における腸内微生物叢
" Martin, V Osadchiy, A Kalani, EA Mayer",The brain-gut-microbiome axis,750,2018,Cellular and molecular …,https://www.sciencedirect.com/science/article/pii/S2352345X18300602,150,脳腸腸菌軸
"Jie, H Xia, SL Zhong, Q Feng, S Li, S Liang…",The gut microbiome in atherosclerotic cardiovascular disease,870,2017,Nature …,https://www.nature.com/articles/s41467-017-00900-1,145,アテローム性動脈硬化性心血管疾患における腸内微生物叢
"Halfvarson, CJ Brislawn, R Lamendella…",Dynamics of the human gut microbiome in inflammatory bowel disease,828,2017,Nature …,https://www.nature.com/articles/nmicrobiol20174,138,炎症性腸疾患におけるヒト腸内微生物叢のダイナミクス
"Sharon, TR Sampson, DH Geschwind…",The central nervous system and the gut microbiome,950,2016,Cell,https://www.sciencedirect.com/science/article/pii/S0092867416314477,136,中枢神経系と腸内微生物叢
" Kho, SK Lal",The human gut microbiome–a potential controller of wellness and disease,663,2018,Frontiers in microbiology,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01835/full?fbclid=IwAR2qj2BrDLCeNaXCi4R-zM8bWzv3KlIwpUJHNDLDuiPaM7eulfaIsKNCdBk,133,ヒト腸内マイクロビオーム - ウェルネスと病気の潜在的なコントローラー
"Jangi, R Gandhi, LM Cox, N Li, F Von Glehn…",Alterations of the human gut microbiome in multiple sclerosis,919,2016,Nature …,https://www.nature.com/articles/ncomms12015,131,多発性硬化症におけるヒト腸内微生物叢の変化
" Hills Jr, BA Pontefract, HR Mishcon, CA Black…",Gut microbiome: profound implications for diet and disease,518,2019,Nutrients,https://www.mdpi.com/497588,130,腸内微生物叢：食事と病気に対する深い影響
"Spor, O Koren, R Ley",Unravelling the effects of the environment and host genotype on the gut microbiome,1516,2011,Nature Reviews Microbiology,https://www.nature.com/articles/nrmicro2540?message=remove&lang=en,126,腸内微生物叢に対する環境と宿主の遺伝子型の影響を解明する
"Imhann, MJ Bonder, AV Vila, J Fu, Z Mujagic, L Vork…",Proton pump inhibitors affect the gut microbiome,862,2016,Gut,https://gut.bmj.com/content/65/5/740.short,123,プロトンポンプ阻害剤は、腸内微生物叢に影響を与えます
"Durack, SV Lynch",The gut microbiome: relationships with disease and opportunities for therapy,481,2019,Journal of Experimental Medicine,https://rupress.org/jem/article-abstract/216/1/20/42456,120,腸内微生物叢：病気との関係と治療の機会
" Goodrich, ER Davenport, M Beaumont…",Genetic determinants of the gut microbiome in UK twins,816,2016,Cell host & …,https://www.sciencedirect.com/science/article/pii/S1931312816301536,117,英国の双子の腸内微生物叢の遺伝的決定因子
"Schirmer, SP Smeekens, H Vlamakis, M Jaeger…",Linking the human gut microbiome to inflammatory cytokine production capacity,796,2016,Cell,https://www.sciencedirect.com/science/article/pii/S0092867416314039,114,ヒト腸内微生物叢を炎症性サイトカイン生産能力にリンクする
" Ridlon, DJ Kang, PB Hylemon…",Bile acids and the gut microbiome,974,2014,Current opinion in …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4215539/,108,胆汁酸と腸内微生物叢
"B Schmidt, J Raes, P Bork",The human gut microbiome: from association to modulation,529,2018,Cell,https://www.sciencedirect.com/science/article/pii/S0092867418302216,106,ヒト腸内微生物叢：関連から変調まで
"Jovel, LA Dieleman, D Kao, AL Mason, E Wine",The human gut microbiome in health and disease,500,2018,Metagenomics,https://www.sciencedirect.com/science/article/pii/B9780081022689000100,100,健康と病気におけるヒト腸内微生物叢
" Lagier, F Armougom, M Million, P Hugon…",Microbial culturomics: paradigm shift in the human gut microbiome study,1064,2012,Clinical Microbiology …,https://www.sciencedirect.com/science/article/pii/S1198743X14608041,97,微生物培養：ヒト腸内微生物叢研究のパラダイムシフト
